datetime,hourly_site_load_in_watt,NOK_per_kWh,temp,windgust,windspeed,winddir,solarradiation,solarenergy,uvindex
2024-09-29 00,1251.59,0.33403,7.1,43.1,27.6,313,0,0,0
2024-09-29 01,1258.01,0.32886,7.1,42.4,27.1,320,0,0,0
2024-09-29 02,1258.73,0.32803,6.5,25.2,10.8,310,0,0,0
2024-09-29 03,1340.63,0.32651,6.5,42.9,27.3,315,0,0,0
2024-09-29 04,1294.76,0.32662,5.7,39.5,23.8,310,0,0,0
2024-09-29 05,1276.1,0.32768,4.9,33.1,19.3,325,0,0,0
2024-09-29 06,1287.59,0.33909,4.5,26.3,17.8,299,0,0,0
2024-09-29 07,1273.99,0.35449,3.1,27,14.5,314,0,0,0
2024-09-29 08,1312.15,0.36001,4.7,29.6,17.9,290,11,0,0
2024-09-29 09,1306.34,0.37001,5.8,26,15,280,43,0.2,0
2024-09-29 10,1295.8,0.35308,7.8,23.3,14.8,285,99,0.4,1
2024-09-29 11,1279.57,0.29394,9,23.6,15.5,277,227,0.8,2
2024-09-29 12,1233.35,0.24679,9.6,20.7,12.9,286,307,1.1,3
2024-09-29 13,1305.14,0.2549,11,20.5,13.1,279,344,1.2,3
2024-09-29 14,1343.29,0.293,10.9,20.8,16.4,241,349,1.3,3
2024-09-29 15,1257.89,0.35755,10.9,27,19.1,229,319,1.1,3
2024-09-29 16,1291.34,0.39117,10.3,26.7,16.4,228,121,0.4,1
2024-09-29 17,1293.37,0.39658,10.8,26.8,17.8,249,100,0.4,1
2024-09-29 18,1264.23,0.42633,9.8,26.9,20.8,246,47,0.2,0
2024-09-29 19,1298.5,0.43091,9.5,33.2,22.6,255,12,0,0
2024-09-29 20,1262.08,0.43303,8.6,32.6,20.7,248,0,0,0
2024-09-29 21,1252.43,0.42915,8.5,26,14.7,234,0,0,0
2024-09-29 22,1301.39,0.42327,8.7,22.7,9.5,74,0,0,0
2024-09-29 23,1277.76,0.36542,7.7,24,11.8,134,0,0,0
2024-09-30 00,1318.2,0.31228,7.7,20.4,10.2,104,0,0,0
2024-09-30 01,1302.67,0.20634,7.6,20.4,10,112,0,0,0
2024-09-30 02,1302.11,0.09876,7.5,17.5,10.4,116,0,0,0
2024-09-30 03,1327.85,0.06502,7.4,14.4,7.5,91,0,0,0
2024-09-30 04,1270.25,0.10605,7.3,14.4,9.3,69,0,0,0
2024-09-30 05,1766.33,0.26349,7.3,14.4,9.4,78,0,0,0
2024-09-30 06,3015.57,0.42433,7.2,13.9,8.6,76,0,0,0
2024-09-30 07,3342.76,0.66442,6.7,16.8,9.2,76,0,0,0
2024-09-30 08,3545.9,0.671,7.6,12.9,8.3,73,10,0,0
2024-09-30 09,3860.62,0.5566,7.6,17.2,9.5,48,54,0.2,1
2024-09-30 10,3536.63,0.42456,8.6,35.4,17.6,134,66,0.2,1
2024-09-30 11,3641.47,0.28677,9.4,14,7.1,102,77,0.3,1
2024-09-30 12,3276.57,0.23421,10.3,14.3,9.8,239,101,0.4,1
2024-09-30 13,3129.94,0.16131,11.3,23.3,12.5,114,124,0.4,1
2024-09-30 14,2374.14,0.17624,12.4,27.1,10.7,144,184,0.7,2
2024-09-30 15,1426.41,0.26584,12.6,19.5,13.7,208,118,0.4,1
2024-09-30 16,1410.87,0.3171,13.2,32.6,15.8,266,172,0.6,2
2024-09-30 17,1459.58,0.38471,12,17.7,7.9,142,56,0.2,1
2024-09-30 18,1394.79,0.42315,11.2,11,9.3,87,29,0.1,0
2024-09-30 19,1371.58,0.43068,10.1,16.6,13,79,4,0,0
2024-09-30 20,1393.65,0.4014,9.3,16.4,12.6,58,0,0,0
2024-09-30 21,1454.85,0.30311,8.5,16.4,14.3,52,0,0,0
2024-09-30 22,1420.98,0.24279,8.5,16.7,12.4,60,0,0,0
2024-09-30 23,1429,0.11946,8.4,19.8,15.3,67,0,0,0
2024-10-01 00,1403.52,0.03883,8.1,20.1,15.2,79,0,0,0
2024-10-01 01,1363.77,0.00094,7.9,20.2,15.4,72,0,0,0
2024-10-01 02,1392.41,0.00059,7.7,20.1,15.8,65,0,0,0
2024-10-01 03,1360.3,0.00023,6.8,22.6,16.3,58,0,0,0
2024-10-01 04,1380.43,0.09384,6.7,19.9,16.4,57,0,0,0
2024-10-01 05,1625.26,0.2962,6.2,26.1,20.6,51,0,0,0
2024-10-01 06,3217.3,0.39121,6.1,21.7,14.3,49,0,0,0
2024-10-01 07,3360.26,0.44611,6.2,23.5,18.1,53,0,0,0
2024-10-01 08,3604.38,0.4847,6.6,23.5,17.9,53,14,0.1,0
2024-10-01 09,3835.38,0.48693,7.3,26.7,21.2,59,58,0.2,1
2024-10-01 10,5204.63,0.45338,8.3,27.1,16.2,58,112,0.4,1
2024-10-01 11,5421.23,0.42277,9.5,24.4,16.9,61,195,0.7,2
2024-10-01 12,6018.45,0.4223,11.1,27.5,19.2,68,266,1,3
2024-10-01 13,3557.16,0.42265,11.9,30.6,19.6,77,202,0.7,2
2024-10-01 14,2337.64,0.42242,12.4,24.4,14.2,67,347,1.2,3
2024-10-01 15,1376.26,0.46582,12.7,23.2,14.9,72,181,0.7,2
2024-10-01 16,1207.82,0.51098,12.7,27.8,19.2,56,184,0.7,2
2024-10-01 17,1170.25,0.58559,12,30.5,19.3,51,82,0.3,1
2024-10-01 18,1476.3,0.61972,11.2,27.7,18.8,47,26,0.1,0
2024-10-01 19,1418.24,0.64377,10.1,20,13.9,32,4,0,0
2024-10-01 20,1078.69,0.56037,8.3,17.7,10.1,36,0,0,0
2024-10-01 21,1291.62,0.52776,7.5,17.2,12.3,37,0,0,0
2024-10-01 22,1416.06,0.49139,6.6,17.1,12.2,39,0,0,0
2024-10-01 23,1085.07,0.42652,6.6,17.1,11.4,35,0,0,0
2024-10-02 00,1359.71,0.46729,7,16.9,12,34,0,0,0
2024-10-02 01,1333.81,0.46227,7,17.1,12.2,35,0,0,0
2024-10-02 02,1100.96,0.45515,5.8,19.8,12.6,38,0,0,0
2024-10-02 03,1288.94,0.46379,6.4,20.2,14.9,35,0,0,0
2024-10-02 04,1331.07,0.46998,6.5,20.4,12.2,38,0,0,0
2024-10-02 05,1280.95,0.49437,7,14.3,7.5,359,0,0,0
2024-10-02 06,2209.41,0.58624,6.9,14.3,10.4,351,0,0,0
2024-10-02 07,2170.35,0.94695,6.8,14.7,10.3,360,0,0,0
2024-10-02 08,2390.25,1.43047,6.5,14,10.5,1,7,0,0
2024-10-02 09,2899.53,1.06579,7.1,14.5,7.2,10,34,0.1,0
2024-10-02 10,2874.81,0.72294,8.7,15.5,9.7,1,55,0.2,1
2024-10-02 11,2624.44,0.59955,9.9,17.8,11.2,16,195,0.7,2
2024-10-02 12,2571.87,0.64088,11.2,21.1,13.4,17,282,1,3
2024-10-02 13,2556.63,0.58916,12.4,20.8,10.8,1,319,1.1,3
2024-10-02 14,2031.05,0.58764,13.8,24.1,7.9,5,323,1.2,3
2024-10-02 15,791.64,0.58379,14.2,22.1,18.5,323,290,1,3
2024-10-02 16,762.17,0.6041,14.6,27.2,16.1,331,229,0.8,2
2024-10-02 17,841.98,0.69889,14.5,23.8,15.5,337,42,0.2,0
2024-10-02 18,984.1,0.66877,13.5,17.2,9.9,341,17,0.1,0
2024-10-02 19,1203.5,0.62243,11,13.7,9.7,343,4,0,0
2024-10-02 20,976.06,0.59663,9,16.7,8.6,1,0,0,0
2024-10-02 21,1184.47,0.54854,8.1,13.5,8.7,25,0,0,0
2024-10-02 22,1274.63,0.50301,6.7,11.9,7,47,0,0,0
2024-10-02 23,1014.5,0.4834,6.4,13.3,6.6,60,0,0,0
2024-10-03 00,1246.27,0.49738,5.7,7.4,4.1,68,0,0,0
2024-10-03 01,1194.74,0.49093,5,10.4,6.6,49,0,0,0
2024-10-03 02,984.82,0.48577,4.8,10.3,9.6,340,0,0,0
2024-10-03 03,1313.57,0.4846,4.8,10.5,4.6,33,0,0,0
2024-10-03 04,1316.51,0.4846,4.8,13.6,7.1,28,0,0,0
2024-10-03 05,1335.34,0.49714,4.1,10.5,6.8,19,0,0,0
2024-10-03 06,2593.66,0.57461,5.1,10.4,2.1,13,0,0,0
2024-10-03 07,2799.49,0.83314,5.1,10.4,7.3,28,0,0,0
2024-10-03 08,2670.63,0.87064,4.9,10.2,6.9,356,7,0,0
2024-10-03 09,3014.38,0.76142,5.5,13.7,6.7,8,43,0.2,0
2024-10-03 10,2604.25,0.5984,8,10.7,7.3,39,65,0.2,1
2024-10-03 11,2548.22,0.57601,9.8,11,10.1,38,207,0.7,2
2024-10-03 12,2176.81,0.5289,11.8,10.7,3.9,51,278,1,3
2024-10-03 13,2042.08,0.41698,12.9,9.3,7.8,316,307,1.1,3
2024-10-03 14,963.38,0.46409,13.7,13.8,9.3,314,313,1.1,3
2024-10-03 15,695.8,0.56371,14.4,14,9.2,308,283,1,3
2024-10-03 16,748.08,0.57801,14.6,10.6,8.6,312,191,0.7,2
2024-10-03 17,834.8,0.59875,14.2,9.6,5.9,316,34,0.1,0
2024-10-03 18,1014.84,0.68946,13.1,9.3,7.7,290,18,0.1,0
2024-10-03 19,962.9,0.70317,10.8,10.4,6.9,264,3,0,0
2024-10-03 20,1049.13,0.76821,9.6,10.2,4.1,231,0,0,0
2024-10-03 21,1236.89,0.62113,7.3,7.2,2.9,33,0,0,0
2024-10-03 22,1017.21,0.58457,6.4,10.2,6.5,72,0,0,0
2024-10-03 23,1189.54,0.54039,6.5,9.3,6.8,83,0,0,0
2024-10-04 00,1278.6,0.52534,6.1,10.1,6.6,64,0,0,0
2024-10-04 01,1211.16,0.49694,5.5,10.4,9.2,60,0,0,0
2024-10-04 02,1331.01,0.48713,4.7,13,8.9,64,0,0,0
2024-10-04 03,1692.38,0.48526,4.7,13.2,8.7,61,0,0,0
2024-10-04 04,1009.79,0.48093,4.2,10.6,8.4,48,0,0,0
2024-10-04 05,1376.19,0.5209,3.5,10.5,5.6,50,0,0,0
2024-10-04 06,1437.85,0.57242,3.4,10.4,9,79,0,0,0
2024-10-04 07,1078.26,1.43264,3.3,13.5,8.7,50,0,0,0
2024-10-04 08,1385.69,1.59949,4,13.3,8.8,53,5,0,0
2024-10-04 09,1589.65,1.31638,5.2,13.4,8.9,52,25,0.1,0
2024-10-04 10,1201.16,0.66543,7,13.7,9.2,39,67,0.2,1
2024-10-04 11,1461.68,0.58154,8,9.5,5.8,59,133,0.5,1
2024-10-04 12,1422.53,0.54917,9.5,10.9,7,56,263,0.9,3
2024-10-04 13,1188.81,0.53223,11.1,10.9,4.2,121,376,1.4,4
2024-10-04 14,985.47,0.52078,12.2,7.7,4.2,34,464,1.7,5
2024-10-04 15,1044.2,0.49238,12.9,8.5,3.4,244,128,0.5,1
2024-10-04 16,998.3,0.51085,12.4,11.2,7.1,263,151,0.5,2
2024-10-04 17,952.68,0.57464,12.7,14.4,5.5,236,75,0.3,1
2024-10-04 18,1192.32,0.93453,11.6,8.1,4.9,226,23,0.1,0
2024-10-04 19,970.65,1.43778,9.8,7.9,4,222,3,0,0
2024-10-04 20,1181.29,0.57184,8.9,10.5,7.1,160,0,0,0
2024-10-04 21,1144.5,0.53912,8.8,16.7,9.3,243,0,0,0
2024-10-04 22,1013.42,0.49764,7.9,10.6,6.2,182,0,0,0
2024-10-04 23,1364.64,0.49063,7.7,13.1,7.8,69,0,0,0
2024-10-05 00,1244.55,0.46831,7.2,10.5,6.6,68,0,0,0
2024-10-05 01,986.46,0.46411,7.4,10.6,7.4,50,0,0,0
2024-10-05 02,1380.46,0.46224,7.5,10.2,8.9,37,0,0,0
2024-10-05 03,1356.16,0.46002,7,10.4,6.2,58,0,0,0
2024-10-05 04,981.57,0.45897,6.9,10.4,9.2,48,0,0,0
2024-10-05 05,1301.59,0.46201,6.5,10.3,8.9,79,0,0,0
2024-10-05 06,1166.58,0.46878,7.4,13.6,9.3,45,0,0,0
2024-10-05 07,1046.41,0.4696,7.9,17,12,52,0,0,0
2024-10-05 08,1323.4,0.47918,8,16.9,11.8,44,5,0,0
2024-10-05 09,1426.29,0.4904,8.1,16.9,11.8,41,43,0.2,0
2024-10-05 10,1134.19,0.49916,8.3,13.9,9.6,41,62,0.2,1
2024-10-05 11,1339.16,0.49846,10.1,13.1,8.1,359,200,0.7,2
2024-10-05 12,1344.01,0.49811,9.9,16.9,6.8,296,347,1.2,3
2024-10-05 13,1249.15,0.45838,10.3,20.1,14.7,215,256,0.9,3
2024-10-05 14,1478.07,0.48199,11.2,20.2,13.5,230,158,0.6,2
2024-10-05 15,1430.73,0.47906,11.4,20.6,15.7,217,143,0.5,1
2024-10-05 16,1248.4,0.48187,11.1,24,16.6,213,119,0.4,1
2024-10-05 17,1466.49,0.48105,12.1,33.6,23.7,218,86,0.3,1
2024-10-05 18,1504.58,0.51529,12,42.8,32.5,234,40,0.1,0
2024-10-05 19,1313.32,0.4946,11.8,42.8,27.8,222,3,0,0
2024-10-05 20,1454.56,0.47871,11.9,39.6,30.3,217,0,0,0
2024-10-05 21,1500.89,0.47311,11.9,42.7,29.9,231,0,0,0
2024-10-05 22,1353.14,0.46317,12,42.4,29.9,216,0,0,0
2024-10-05 23,1541.07,0.46119,12.4,43.7,26.5,222,0,0,0
2024-10-06 00,1409.02,0.45534,11.7,39.5,27.1,226,0,0,0
2024-10-06 01,1621.2,0.44366,11.8,42.8,30.2,230,0,0,0
2024-10-06 02,1553.18,0.44308,11.7,40.1,29.2,227,0,0,0
2024-10-06 03,1505.29,0.43957,11.1,39.5,27.1,224,0,0,0
2024-10-06 04,1347,0.43817,11.1,39.2,29.2,234,0,0,0
2024-10-06 05,1476.41,0.44086,11.7,42.9,31.2,236,0,0,0
2024-10-06 06,1418.45,0.44319,10.6,42.8,26.6,240,0,0,0
2024-10-06 07,1398.18,0.45698,9.3,39.6,23.9,233,0,0,0
2024-10-06 08,1592.85,0.44179,9.5,36.3,25.8,232,4,0,0
2024-10-06 09,1344.46,0.44366,10.7,32.8,26.5,233,25,0.1,0
2024-10-06 10,1324.96,0.43396,11.9,36.2,27,237,82,0.3,1
2024-10-06 11,2525.05,0.37683,13,36.9,25.5,235,193,0.7,2
2024-10-06 12,1378.32,0.31969,13.9,34.2,25.3,236,325,1.2,3
2024-10-06 13,1638.97,0.30637,14.8,31.5,25.7,228,410,1.5,4
2024-10-06 14,1134.73,0.33605,14.1,32.6,24.9,226,347,1.2,3
2024-10-06 15,1090.9,0.39388,13.9,37.2,26.1,216,156,0.6,2
2024-10-06 16,1143.67,0.44436,13.6,31,22.8,217,155,0.6,2
2024-10-06 17,1282.94,0.45359,12.8,30.3,23,214,106,0.4,1
2024-10-06 18,1188.25,0.52534,11.9,34,25,209,41,0.1,0
2024-10-06 19,1340.07,0.54905,11,30.2,21.8,208,2,0,0
2024-10-06 20,1454,0.51353,10.5,26.9,21.9,204,0,0,0
2024-10-06 21,1216.59,0.4828,10.5,26.7,21.7,211,0,0,0
2024-10-06 22,1312.21,0.47474,10.4,23.8,16.3,209,0,0,0
2024-10-06 23,1467.45,0.46715,8.5,21.1,14.3,185,0,0,0
2024-10-07 00,1165.49,0.42638,9,25.9,17.6,208,0,0,0
2024-10-07 01,1395.42,0.41192,8.2,22.9,14.6,201,0,0,0
2024-10-07 02,1258.17,0.38756,8.1,22.7,17,270,0,0,0
2024-10-07 03,1081.3,0.35143,6.9,22.7,12.4,141,0,0,0
2024-10-07 04,1352.12,0.40738,7,16.6,13.2,106,0,0,0
2024-10-07 05,1588.97,0.45645,6.7,17.5,14,103,0,0,0
2024-10-07 06,2663.81,0.49946,6.9,23.1,16.3,117,0,0,0
2024-10-07 07,2656.94,0.57091,7.6,23,13.3,109,0,0,0
2024-10-07 08,2832.67,0.62872,8.1,26.5,18.9,118,2,0,0
2024-10-07 09,3058.22,0.58268,7.9,20.6,13.4,93,40,0.1,0
2024-10-07 10,2744.32,0.56543,8.8,20.8,13.4,110,86,0.3,1
2024-10-07 11,3109.47,0.54095,9.8,22.1,15.4,119,132,0.5,1
2024-10-07 12,3155.68,0.51764,10.1,27.2,20.9,115,58,0.2,1
2024-10-07 13,3023.68,0.48897,10.1,33.1,16,118,53,0.2,1
2024-10-07 14,1696.36,0.49853,10.9,27.1,20.7,99,49,0.2,0
2024-10-07 15,1178.13,0.50809,11.1,25.8,17.6,90,45,0.2,0
2024-10-07 16,1139.73,0.53734,11.2,20.4,15.6,88,23,0.1,0
2024-10-07 17,1338.03,0.56287,11.3,30.9,22.2,97,25,0.1,0
2024-10-07 18,1101.4,0.56485,10.4,33.3,19.8,103,3,0,0
2024-10-07 19,1253.26,0.5596,9.7,25.8,16.6,89,0,0,0
2024-10-07 20,1340.51,0.51251,9.7,26,18,92,0,0,0
2024-10-07 21,1205.95,0.49596,9.9,34.5,21.7,108,0,0,0
2024-10-07 22,1400.83,0.47964,9.8,34.2,25.1,104,0,0,0
2024-10-07 23,1362.21,0.46577,9.5,32.1,23.5,102,0,0,0
2024-10-08 00,1265.02,0.47823,9.1,38.1,28,95,0,0,0
2024-10-08 01,1441.12,0.47379,9.1,37.5,24.4,109,0,0,0
2024-10-08 02,1445.63,0.47204,9.1,33.1,16.4,106,0,0,0
2024-10-08 03,1130.2,0.4718,9.3,33.9,19,124,0,0,0
2024-10-08 04,1351.6,0.47134,9.6,29.2,16.1,125,0,0,0
2024-10-08 05,1688.32,0.4773,9.9,27.4,14.7,106,0,0,0
2024-10-08 06,2995.75,0.49085,9.9,22,13,112,0,0,0
2024-10-08 07,3503.22,0.56027,9.9,26.6,16.5,118,0,0,0
2024-10-08 08,3442.16,0.80465,10,18.4,11.8,112,1,0,0
2024-10-08 10,2440.23,0.96266,10.3,21.7,13.6,114,11,0,0
2024-10-08 11,3004.83,0.6013,10.8,20,16.4,108,19,0.1,0
2024-10-08 12,3250.51,0.55864,11.2,20.2,17,126,37,0.1,0
2024-10-08 13,2854.33,0.50207,11.5,20.9,12.9,127,77,0.3,1
2024-10-08 14,2504.22,0.49085,12,23.9,13.5,122,84,0.3,1
2024-10-08 15,1348.86,0.49074,12,23.4,17.5,123,94,0.3,1
2024-10-08 16,1019.62,0.4912,11.9,24.5,18.8,113,53,0.2,1
2024-10-08 17,1289.41,0.50137,12.3,21.1,14.9,103,60,0.2,1
2024-10-08 18,1237.89,0.49156,11.9,25,15.7,96,39,0.1,0
2024-10-08 19,1047.19,0.49693,11.7,26.5,14.2,85,11,0,0
