datetime,hourly_site_load_in_watt,NOK_per_kWh,temp,windgust,windspeed,winddir,solarradiation,solarenergy,uvindex
2024-10-18 18,1347.1,0.50546,11.1,13.2,13.3,103,8,0,0
2024-10-18 19,1334.3,0.50758,10.7,13.6,9,88,0,0,0
2024-10-18 20,1476.58,0.50345,11.2,12.8,11.7,99,0,0,0
2024-10-18 21,1546.83,0.49779,11.1,13,8.5,114,0,0,0
2024-10-18 22,1311.46,0.49023,10.6,23.5,6.1,206,0,0,0
2024-10-18 23,1407.03,0.46887,10.7,17.9,13.8,124,0,0,0
2024-10-19 00,1569.71,0.45318,11.4,27.2,15,139,0,0,0
2024-10-19 01,1356.15,0.46841,11.3,16.8,6.2,154,0,0,0
2024-10-19 02,1379.73,0.46592,11.3,16.8,12,156,0,0,0
2024-10-19 03,1488.05,0.46354,11.3,17.9,10.6,143,0,0,0
2024-10-19 04,1326.36,0.46224,11.2,13.7,11.1,90,0,0,0
2024-10-19 05,1449.1,0.45749,11.2,14.9,11.3,96,0,0,0
2024-10-19 06,1499,0.46117,11.6,16.5,17.7,137,0,0,0
2024-10-19 07,1397.26,0.46105,11.6,23.4,19.3,166,0,0,0
2024-10-19 08,1492.41,0.4652,11.6,18.9,9.8,120,0,0,0
2024-10-19 09,1435.4,0.47399,11.6,17.9,9.2,130,0,0,0
2024-10-19 10,1361.74,0.48005,11.4,14.3,14.6,100,25,0.1,0
2024-10-19 11,1698.46,0.48598,11.7,17.6,9.5,125,78,0.3,1
2024-10-19 12,2134.05,0.48515,12.2,15.7,11.2,129,35,0.1,0
2024-10-19 13,631.03,0.4861,11.8,17.8,15.6,117,46,0.2,0
2024-10-19 14,647.81,0.48586,12.4,20.4,10.4,122,57,0.2,1
2024-10-19 15,816.43,0.48563,13,10.9,8.2,81,64,0.2,1
2024-10-19 16,729.47,0.48408,13.1,9.7,7.8,87,53,0.2,1
2024-10-19 17,814.66,0.49156,13.1,11.9,7.9,102,45,0.2,0
2024-10-19 18,814.01,0.51341,12.6,15.6,8.4,108,15,0.1,0
2024-10-19 19,852.24,0.52018,12.1,10.6,5.9,85,0,0,0
2024-10-19 20,1014.1,0.52374,11.7,10.1,10,95,0,0,0
2024-10-19 21,818.89,0.51472,11.4,14.8,11.4,84,0,0,0
2024-10-19 22,1065.84,0.49809,11.1,14.8,11.1,80,0,0,0
2024-10-19 23,1051.92,0.49002,11,17,10.2,77,0,0,0
2024-10-20 00,949.83,0.47779,10.8,13.1,10.5,80,0,0,0
2024-10-20 01,1126.46,0.41506,10.9,20.5,13.1,120,0,0,0
2024-10-20 02,1057.3,0.41104,11.1,16.7,11.7,138,0,0,0
2024-10-20 03,959.38,0.40856,10.9,20,12.5,129,0,0,0
2024-10-20 04,1181.14,0.39899,11.2,28.2,19.5,161,0,0,0
2024-10-20 05,1084.38,0.39639,11.1,31.2,22,186,0,0,0
2024-10-20 06,938.87,0.38305,11.6,24.9,18.2,171,0,0,0
2024-10-20 07,1159.25,0.38068,11.8,34.1,25.1,198,0,0,0
2024-10-20 08,1108.52,0.41907,12,30.3,19.1,195,0,0,0
2024-10-20 09,1006.07,0.42462,11.6,36.4,23.8,203,0,0,0
2024-10-20 10,1197.18,0.39096,12,33.5,20.9,191,17,0.1,0
2024-10-20 11,1101.6,0.2908,12,37.9,28,180,25,0.1,0
2024-10-20 12,998.61,0.00094,11.8,32,25.1,171,41,0.1,0
2024-10-20 13,1261.9,0,12.1,39.8,27.6,177,36,0.1,0
2024-10-20 14,1102.57,-0.01158,12.2,45.1,34.5,188,44,0.2,0
2024-10-20 15,1006.32,-0.02374,12.7,41.3,27.6,180,42,0.2,0
2024-10-20 16,1235.26,0,12.7,45.2,31.9,181,30,0.1,0
2024-10-20 17,1064.98,0.31371,12.7,48.6,32.7,181,10,0,0
2024-10-20 18,1157.79,0.40147,12.4,44.1,30.7,172,4,0,0
2024-10-20 19,1014.12,0.45108,12.6,45.2,31.4,170,0,0,0
2024-10-20 20,1284.89,0.42592,11.9,44.8,28.6,163,0,0,0
2024-10-20 21,1125.48,0.39309,12,52.6,39.5,163,0,0,0
2024-10-20 22,1105.84,0.25489,12.7,64.1,48.1,178,0,0,0
2024-10-20 23,1304.03,0.14481,12.8,67.9,51.2,181,0,0,0
2024-10-21 00,1137.69,0.02303,12.7,65.5,44.2,185,0,0,0
2024-10-21 01,1098.75,-0.00106,12.4,62.3,42.7,180,0,0,0
2024-10-21 02,1274.65,-0.00118,12,74.1,57.1,180,0,0,0
2024-10-21 03,1070.59,-0.00165,12.9,77.6,46.9,190,0,0,0
2024-10-21 04,1152.09,-0.00094,13.3,68.7,42.4,198,0,0,0
2024-10-21 05,1531.58,-0.00047,13.2,63.3,39.1,197,0,0,0
2024-10-21 06,2793.54,0.03945,13.2,64.3,42.2,202,0,0,0
2024-10-21 07,2700.94,0.30663,13,63,38.4,202,0,0,0
2024-10-21 08,2933.34,0.32446,13,64.4,44.3,205,0,0,0
2024-10-21 09,2892.14,0.36486,12.9,72.1,48.5,213,0,0,0
2024-10-21 10,2681.4,0.36935,13.2,74,48.1,212,13,0,0
2024-10-21 11,2647.5,0.35127,13.2,76.4,50.5,215,26,0.1,0
2024-10-21 12,2442.91,0.34041,13.2,75.2,50.1,217,76,0.3,1
2024-10-21 13,2348.74,0.35316,13.8,75.7,50.4,214,118,0.4,1
2024-10-21 14,1126.13,0.36486,13.6,74.2,50,214,58,0.2,1
2024-10-21 15,535.37,0.40124,13.3,72.5,47.8,217,128,0.5,1
2024-10-21 16,539.49,0.42073,13.8,69.6,43.4,215,78,0.3,1
2024-10-21 17,720.9,0.42167,13.7,67.3,41,212,29,0.1,0
2024-10-21 18,908.41,0.42899,12.8,65.5,43.4,213,23,0.1,0
2024-10-21 19,746.91,0.42994,12.7,60.6,38.2,223,0,0,0
2024-10-21 20,1016.4,0.42262,12.5,51.5,39,224,0,0,0
2024-10-21 21,1058.08,0.42521,11.9,58.2,40.1,231,0,0,0
2024-10-21 22,962.83,0.42049,11.2,52.7,36.4,231,0,0,0
2024-10-21 23,1199.41,0.40809,10.9,53.9,35.3,230,0,0,0
2024-10-22 00,1111.16,0.40336,10.4,49.9,32.8,232,0,0,0
2024-10-22 01,1038.31,0.36769,9.7,43.5,30.1,233,0,0,0
2024-10-22 02,1334.33,0.36261,9.4,38.2,25.5,225,0,0,0
2024-10-22 03,1006.46,0.36498,9.8,41.8,29.2,222,0,0,0
2024-10-22 04,1145.68,0.36486,9.8,41.6,29.9,224,0,0,0
2024-10-22 05,1478.05,0.36356,9.8,38.9,26.5,221,0,0,0
2024-10-22 06,2548.49,0.36887,10.3,43.9,31.1,216,0,0,0
2024-10-22 07,2603.87,0.38813,10.5,43.4,30.7,221,0,0,0
2024-10-22 08,2889.85,0.41175,10.6,41.8,29.4,214,0,0,0
2024-10-22 09,2956.73,0.41931,10.9,45.4,31.2,218,0,0,0
2024-10-22 10,2676.59,0.41943,9.5,50.7,36,217,16,0.1,0
2024-10-22 11,2621.58,0.41966,11,49.5,32.9,216,56,0.2,1
2024-10-22 12,2627.44,0.41576,11.7,54.5,36.8,217,142,0.5,1
2024-10-22 13,2761.9,0.39072,12.3,38.9,32.7,220,106,0.4,1
2024-10-22 14,958.94,0.36828,12.7,52.2,36.5,221,175,0.6,2
2024-10-22 15,1218.51,0.35293,12.6,53.7,36.4,225,166,0.6,2
2024-10-22 16,755.18,0.36391,13.2,53.6,36.2,224,89,0.3,1
2024-10-22 17,837.27,0.38801,13.2,53.3,37.1,224,44,0.2,0
2024-10-22 18,850.12,0.41919,12.4,57.1,38.2,226,22,0.1,0
2024-10-22 19,799.52,0.41931,11.8,50.9,33.4,226,0,0,0
2024-10-22 20,1154.22,0.41978,11.6,49.6,35.6,234,0,0,0
2024-10-22 21,1029.22,0.41943,11.1,48.3,36.4,235,0,0,0
2024-10-22 22,923.93,0.41612,10.9,55.1,36.2,241,0,0,0
2024-10-22 23,1210.88,0.40502,10.3,57.5,36.4,242,0,0,0
2024-10-23 00,1385.59,0.38128,9.9,49.9,32.3,243,0,0,0
2024-10-23 01,1097.54,0.35585,9.2,45.2,29.2,241,0,0,0
2024-10-23 02,1295.84,0.31122,8.8,46.2,32.2,240,0,0,0
2024-10-23 03,1284.65,0.28506,8.5,47.2,32.5,225,0,0,0
2024-10-23 04,1043.34,0.2821,8.5,46.6,30.5,228,0,0,0
2024-10-23 05,1752.72,0.28435,8.5,47.1,32.7,230,0,0,0
2024-10-23 06,2933.27,0.31785,8.6,43.8,28.8,232,0,0,0
2024-10-23 07,3178.02,0.36733,7.9,39.9,26.7,235,0,0,0
2024-10-23 08,2907.92,0.38095,8,44,32.1,234,0,0,0
2024-10-23 09,2934.2,0.38474,8.7,48.1,27.7,237,0,0,0
2024-10-23 10,2549.45,0.38213,8.7,42.4,28.5,235,17,0.1,0
2024-10-23 11,2628.18,0.38166,9.5,54.8,38.9,238,28,0.1,0
2024-10-23 12,2671.35,0.38154,10.7,58,39.2,236,105,0.4,1
2024-10-23 13,2139.69,0.37444,11.5,56.4,35.9,239,102,0.4,1
2024-10-23 14,783.55,0.37183,11.4,42.6,38.4,235,151,0.5,2
2024-10-23 15,913,0.37302,11.3,48.8,40.4,229,104,0.4,1
2024-10-23 16,903.16,0.36745,11.4,57.3,30.5,223,62,0.2,1
2024-10-23 17,1025.1,0.37278,11.5,49.4,34.7,229,33,0.1,0
2024-10-23 18,1076.92,0.37455,11.8,51,34.7,226,14,0.1,0
2024-10-23 19,1062.5,0.37763,11.8,50.5,33.7,227,0,0,0
2024-10-23 20,1168.4,0.37633,11.7,51.8,35.1,230,0,0,0
2024-10-23 21,1170.33,0.37586,11.6,48.3,33.5,225,0,0,0
2024-10-23 22,1149.83,0.37574,11.3,50.2,30.2,229,0,0,0
2024-10-23 23,1175.62,0.36686,11.2,47,33.6,238,0,0,0
2024-10-24 00,1327.9,0.36212,10.9,46.1,26.8,236,0,0,0
2024-10-24 01,1203.39,0.28009,10.9,44.6,31.8,239,0,0,0
2024-10-24 02,1323.1,0.26554,10.6,42.1,28.1,227,0,0,0
2024-10-24 03,1165.52,0.22747,10.3,41.3,30.3,227,0,0,0
2024-10-24 04,1296.56,0.22747,10.6,50.6,36.5,233,0,0,0
2024-10-24 05,1418.28,0.22747,10.4,48.1,30,231,0,0,0
2024-10-24 06,2396.67,0.22747,10.6,44.9,31.8,231,0,0,0
2024-10-24 07,2599.98,0.20383,10.6,43.6,29.9,230,0,0,0
2024-10-24 08,2362.25,0.3262,10.8,40.2,26.2,224,0,0,0
2024-10-24 09,2440.58,0.37668,10.9,35.2,25,215,0,0,0
2024-10-24 10,2382.47,0.4371,11.1,38.2,25,215,39,0.1,0
2024-10-24 11,2606.84,0.38969,11.6,43.7,28.7,218,43,0.2,0
2024-10-24 12,2477.47,0.36817,11.8,47.5,30.9,216,105,0.4,1
2024-10-24 13,2475.15,0.35374,12.2,38.1,33.4,216,129,0.5,1
2024-10-24 14,2226.75,0.34937,12.3,45.5,23.6,216,104,0.4,1
2024-10-24 15,733.74,0.35126,13.1,41.3,30.8,217,93,0.3,1
2024-10-24 16,1046.22,0.35185,13.1,40.1,27.7,218,96,0.3,1
2024-10-24 17,913.13,0.35445,12.9,38.2,25,219,49,0.2,0
2024-10-24 18,839.64,0.3885,12.3,40.4,31.1,221,37,0.1,0
2024-10-24 19,1112.18,0.41558,12.5,41.4,27.2,224,0,0,0
2024-10-24 20,1041.77,0.41286,12,39.2,24.1,226,0,0,0
2024-10-24 21,1210.91,0.35386,11.9,39.7,27.9,221,0,0,0
2024-10-24 22,1139,0.32726,11.7,43,30.2,224,0,0,0
2024-10-24 23,1276.28,0.29498,10.8,41,30.9,218,0,0,0
2024-10-25 00,1074.67,0.15689,10.9,40.4,26.7,207,0,0,0
2024-10-25 01,1328.7,0.06839,10.6,34.4,25.8,204,0,0,0
2024-10-25 02,1201.49,0.0595,10.7,32.3,22.2,207,0,0,0
2024-10-25 03,1043.94,0.04765,10.7,32.7,24.2,203,0,0,0
2024-10-25 04,1313.89,0.03852,10.5,32.3,20.2,210,0,0,0
2024-10-25 05,1175.67,0.04765,10.4,28.9,19.6,197,0,0,0
2024-10-25 06,1739.56,0.05997,10,30.8,19.6,190,0,0,0
2024-10-25 07,2622.01,0.26147,9.7,25.6,12.6,210,0,0,0
2024-10-25 08,2578.03,0.37122,9.7,20.9,13,192,0,0,0
2024-10-25 09,2692.31,0.47611,9.8,23.3,11.9,178,0,0,0
2024-10-25 10,2827.72,0.40903,9.4,21.4,9.6,166,24,0.1,0
2024-10-25 11,2642.49,0.37537,9.8,17.1,10.8,143,29,0.1,0
2024-10-25 12,1840.13,0.34349,10,19,15.2,131,48,0.2,0
2024-10-25 13,1588.34,0.32606,10.2,24.9,18.4,176,23,0.1,0
2024-10-25 14,902.54,0.29999,10.9,30.2,18.6,194,43,0.2,0
2024-10-25 15,805.29,0.28399,10.3,28.7,14.6,192,18,0.1,0
2024-10-25 16,1088.42,0.27142,10.3,36.5,26.3,198,11,0,0
2024-10-25 17,1069.6,0.3071,10.1,28.6,18.7,201,5,0,0
2024-10-25 18,842.12,0.32583,9.7,25.9,18.6,238,0,0,0
2024-10-25 19,1021.53,0.35795,9.6,23.7,13.3,192,0,0,0
2024-10-25 20,1173.37,0.30461,9.7,17.9,10,175,0,0,0
2024-10-25 21,856.65,0.26917,9.6,16.3,6.8,156,0,0,0
2024-10-25 22,1014.15,0.26147,9.7,13.4,10.5,130,0,0,0
2024-10-25 23,1105.6,0.25021,9.2,12.5,9.4,113,0,0,0
2024-10-26 00,907.15,0.24475,9.1,11.8,6.1,100,0,0,0
2024-10-26 01,1108.43,0.15254,9,13.8,8.4,110,0,0,0
2024-10-26 02,1097.24,0.11792,9,9.5,5.2,28,0,0,0
2024-10-26 03,957.99,0.09051,9,9.2,5.4,34,0,0,0
2024-10-26 04,1081.2,0.08838,8.9,9.4,7.7,43,0,0,0
2024-10-26 05,1033.58,0.06711,8.9,9.6,5.6,51,0,0,0
2024-10-26 06,1012.19,0.11449,9.1,7.2,5.5,7,0,0,0
2024-10-26 07,1098.82,0.16743,8.9,7.5,5.8,338,0,0,0
2024-10-26 08,1076.67,0.22887,8,10.9,4,338,0,0,0
2024-10-26 09,1007.72,0.2909,9,9.6,8.4,352,0,0,0
2024-10-26 10,1252.78,0.33072,7.2,17.2,10.1,333,4,0,0
2024-10-26 11,1009.22,0.33473,8.6,11.8,8,347,23,0.1,0
2024-10-26 12,1086.12,0.33485,8.9,9.5,9.5,359,40,0.1,0
2024-10-26 13,1149.5,0.33721,9,7.3,4.2,320,54,0.2,1
2024-10-26 14,878.15,0.33332,9.3,7.5,4.9,222,63,0.2,1
2024-10-26 15,787.23,0.33402,9.8,9.6,7.2,275,48,0.2,0
2024-10-26 16,939.84,0.33497,10.1,8.3,5.7,224,92,0.3,1
2024-10-26 17,790.69,0.31772,10.5,8.8,4.5,130,49,0.2,0
2024-10-26 18,1018.24,0.33142,9.7,8.5,8.7,154,11,0,0
2024-10-26 19,971.9,0.33887,8.9,9.4,6.6,126,0,0,0
2024-10-26 20,858.27,0.33355,8.7,10,9.3,162,0,0,0
2024-10-26 21,1126.06,0.28133,9,18.3,13.2,177,0,0,0
2024-10-26 22,1058.91,0.22993,9.2,24.2,14.6,184,0,0,0
2024-10-26 23,934.38,0.14273,9.2,28.4,18,169,0,0,0
2024-10-27 00,1125.31,0.0553,9.7,19.1,13,178,0,0,0
2024-10-27 01,1151.97,0.04976,9.5,29.1,20,146,0,0,0
2024-10-27 02,977.32,0.04787,9.6,33.7,22.4,148,0,0,0
2024-10-27 03,1244.88,0.01407,9.3,31.8,22.9,147,0,0,0
2024-10-27 04,1110.93,0.01194,10.4,38.4,28.9,160,0,0,0
2024-10-27 05,963.65,0.01182,10.7,48,30.9,169,0,0,0
2024-10-27 06,1253.42,0.01182,11,54.4,37.7,177,0,0,0
2024-10-27 07,1115.89,0.01182,11.1,61,43.3,180,0,0,0
2024-10-27 08,927.39,0.01182,11.6,46.1,35.9,194,0,0,0
2024-10-27 09,1208.68,0.04432,11.8,43.8,29.4,204,0,0,0
2024-10-27 10,1117.35,0.0526,11.5,47.1,33.5,226,16,0.1,0
2024-10-27 11,979.99,0.05815,4.4,41,30.9,225,12,0,0
2024-10-27 12,1090.74,0.0591,10.8,48.7,30.3,225,41,0.1,0
2024-10-27 13,1914.47,0.05839,10.7,49.4,31.4,212,56,0.2,1
2024-10-27 14,707.11,0.05177,11.5,46,29.2,224,82,0.3,1
2024-10-27 15,654.38,0.05283,11.9,42,27.4,253,87,0.3,1
2024-10-27 16,835.66,0.05413,12.2,35.9,29.6,262,79,0.3,1
2024-10-27 17,657.4,0.05331,11.7,42.9,30.4,261,53,0.2,1
2024-10-27 18,873.95,0.05673,10.6,46.4,26.6,257,11,0,0
2024-10-27 19,1110.88,0.07056,9.5,40.1,26.6,240,0,0,0
2024-10-27 20,910.27,0.12954,9.2,42.2,29.4,250,0,0,0
2024-10-27 21,1144.76,0.12056,9,39.7,28.7,242,0,0,0
2024-10-27 22,1137.47,0.07931,8.1,43.8,29.2,235,0,0,0
2024-10-27 23,923.08,0.0565,8.1,45,32.3,232,0,0,0
2024-10-28 00,1297.13,0.20885,8.2,48.6,35.1,237,0,0,0
2024-10-28 01,1266.55,0.19408,7.7,45.7,31.8,235,0,0,0
2024-10-28 02,1088.94,0.12056,7.7,46.9,32,229,0,0,0
2024-10-28 03,1287.72,0.11926,8.1,51.6,35.6,238,0,0,0
2024-10-28 04,1184.25,0.11926,8.1,49.9,33.8,240,0,0,0
2024-10-28 05,1047.37,0.11961,7.9,44.3,28.4,239,0,0,0
2024-10-28 06,1663.36,0.12068,8,43.6,27.5,238,0,0,0
2024-10-28 07,2791.5,0.12375,7.9,38.9,31.5,237,0,0,0
2024-10-28 08,2856.11,0.20105,8.1,44.4,29,243,0,0,0
2024-10-28 09,3078.63,0.26783,8.2,41.6,29.1,251,0,0,0
2024-10-28 10,2753.82,0.25306,7.5,41,31.1,241,20,0.1,0
2024-10-28 11,2547.95,0.2514,8.4,39.8,27.4,229,58,0.2,1
2024-10-28 12,2326.62,0.23663,9.2,40.1,23.5,236,65,0.2,1
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
